h5_index,set_type,cluster_label
0,train,5
1,train,3
2,train,1
3,train,4
4,train,4
5,train,0
6,train,1
7,train,5
8,train,3
9,train,1
10,train,4
11,train,2
12,train,0
13,train,0
14,train,4
15,train,0
16,train,1
17,train,5
18,train,0
19,train,0
20,train,5
21,train,1
22,train,4
23,train,4
24,train,0
25,train,5
26,train,4
27,train,3
28,train,1
29,train,0
30,train,0
31,train,1
32,train,1
33,train,1
34,train,1
35,train,5
36,train,1
37,train,1
38,train,4
39,train,1
40,train,5
41,train,4
42,train,1
43,train,4
44,train,5
45,train,1
46,train,1
47,train,5
48,train,1
49,train,5
50,train,1
51,train,4
52,train,4
53,train,2
54,train,4
55,train,5
56,train,4
57,train,0
58,train,1
59,train,2
60,train,4
61,train,2
62,train,1
63,train,5
64,train,5
65,train,5
66,train,1
67,train,2
68,train,2
69,train,2
70,train,1
71,train,1
72,train,1
73,train,1
74,train,5
75,train,5
76,train,1
77,train,1
78,train,2
79,train,1
80,train,1
81,train,1
82,train,4
83,train,5
84,train,4
85,train,0
86,train,0
87,train,1
88,train,2
89,train,4
90,train,5
91,train,4
92,train,0
93,train,4
94,train,2
95,train,0
96,train,1
97,train,1
98,train,2
99,train,5
100,train,0
101,train,5
102,train,5
103,train,2
104,train,2
105,train,1
106,train,0
107,train,5
108,train,1
109,train,3
110,train,4
111,train,5
112,train,2
113,train,5
114,train,4
115,train,1
116,train,0
117,train,0
118,train,1
119,train,3
120,train,5
121,train,5
122,train,4
123,train,1
124,train,1
125,train,2
126,train,0
127,train,1
128,train,2
129,train,1
130,train,4
131,train,0
132,train,5
133,train,0
134,train,0
135,train,2
136,train,0
137,train,5
138,train,4
139,train,5
140,train,5
141,train,1
142,train,1
143,train,1
144,train,1
145,train,0
146,train,4
147,train,1
148,train,2
149,train,3
150,train,3
151,train,2
152,train,1
153,train,4
154,train,1
155,train,4
156,train,5
157,train,2
158,train,1
159,train,4
160,train,0
161,train,1
162,train,5
163,train,0
164,train,5
165,train,1
166,train,4
167,train,4
168,train,0
169,train,2
170,train,2
171,train,3
172,train,1
173,train,2
174,train,1
175,train,0
176,train,1
177,train,0
178,train,5
179,train,1
180,train,1
181,train,1
182,train,5
183,train,0
184,train,4
185,train,4
186,train,1
187,train,4
188,train,1
189,train,0
190,train,4
191,train,1
192,train,4
193,train,5
194,train,4
195,train,4
196,train,3
197,train,0
198,train,0
199,train,4
200,train,2
